src_url,vcs,name,web_url,description
https://github.com/spree/spree,git,Spree,https://spreecommerce.org/,"Spree is an open source E-commerce platform for Rails 6 with a modern UX, optional PWA frontend, REST API, GraphQL, several official extensions and 3rd party integrations."
https://github.com/reactioncommerce/reaction,git,Reaction,https://reactioncommerce.com/,"Reaction is an API-first, headless commerce platform built using Node.js, React, GraphQL. Deployed via Docker and Kubernetes."
https://github.com/magento/magento2,git,Magento,http://www.magento.com/,"Magento Commerce, offers a one-of-a-kind eCommerce solution with enterprise power, unlimited scalability, and open-source flexibility for B2C and B2B experiences."
https://github.com/mirumee/saleor,git,Saleor,https://saleor.io/,"A modular, high performance, headless e-commerce storefront built with Python, GraphQL, Django, and ReactJS."
https://github.com/woocommerce/woocommerce,git,WooCommerce,http://www.woocommerce.com/,"An open source eCommerce plugin for WordPress."
https://github.com/Sylius/Sylius,git,Sylius,https://sylius.com/,"Open Source eCommerce Platform on Symfony."
https://github.com/PrestaShop/PrestaShop,git,PrestaShop,https://www.prestashop.com/,"PrestaShop is an Open Source e-commerce web application, committed to providing the best shopping cart experience for both merchants and customers."
https://github.com/activemerchant/active_merchant,git,Active Merchant,http://activemerchant.org/,"Active Merchant is a simple payment abstraction library extracted from Shopify. The aim of the project is to feel natural to Ruby users and to abstract as many parts as possible away from the user to offer a consistent interface across all supported gateways."
https://github.com/django-oscar/django-oscar,git,Oscar,http://oscarcommerce.com/,"Oscar is an e-commerce framework for Django designed for building domain-driven sites."
https://github.com/DivanteLtd/vue-storefront,git,Vue Storefront,https://vuestorefront.io/,"Vue Storefront - PWA for eCommerce. 100% offline, platform agnostic, headless, Magento 2 supported."
https://github.com/solidusio/solidus,git,Solidus,https://solidus.io/,"Rails eCommerce System."
https://github.com/pimcore/pimcore,git,Pimcore,http://www.pimcore.org/,"Pimcore - Open Source Digital Experience Platform: MDM/PIM, CDP, DAM, CMS/UX & eCommerce."
https://github.com/shopware/shopware,git,Shopware,http://www.shopware.com/,"Shopware is the ideal solution for meeting the changing demands of ecommerce, giving you the freedom to quickly and easily leverage your growth potential and focus on the perfect customer experience."
https://github.com/thirtybees/thirtybees,git,thirty bees,https://thirtybees.com/download,"thirty bees is a matured e-commerce solution which once started as a fork of PrestaShop 1.6.1.11 and is still compatible with (almost) all PS 1.6 modules."
